Materia-Semestre,Mediana,Promedio,Desviación
Análisis de Algoritmos-2024-ED,8.4,8.4,0.0
Bases De Datos Relacionales-2024-EJ,7.65,7.65,0.2121320343559638
Cálculo Diferencial-2024-EJ,8.9,8.9,0.0
Cálculo Integral-2024-EJ,8.5,8.5,0.0
Estadística-2024-ED,9.3,9.3,0.0
Filosofía-2023-AD,7.3,7.3,0.0
Fisica-2023-AD,6.7,6.7,0.0
Fisica-2024-EJ,8.7,8.7,0.0
Fundamentos Del Análisis De Datos-2024-ED,9.0,9.0,0.0
Fundamentos Del Análisis De Datos-2024-EJ,8.5,8.5,0.7071067811865476
Física Experimental-2024-EJ,8.6,8.6,0.0
Historia Universal-2023-AD,9.1,9.1,0.0
Introducción a la Física-2023-AD,7.2,7.2,0.0
Literatura Moderna-2023-AD,7.9,7.9,0.0
Matemáticas Discretas-2023-AD,7.7,7.7,0.0
Programación Avanzada-2024-EJ,9.2,9.2,0.0
Programación Básica-2024-ED,8.0,8.0,0.0
Química Universitaria-2023-AD,8.25,8.25,1.0606601717798212
Sistemas De Información-2024-EJ,8.5,8.5,0.0
Sistemas Operativos-2024-ED,8.5,8.5,0.0
Álgebra Lineal-2024-ED,8.8,8.8,0.0
